Title,Image URL,Year,Time,Audience Type,Rating,Vote Count,Metacritic Score,Content,Director,Stars,Movie Link
1. Iron Man,"https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2008,2h 6m,12A,7.9,(1.1M),79,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Jon Favreau,Jon Favreau,https://www.imdb.com/title/tt0371746/?ref_=ls_t_1
2. The Incredible Hulk,"https://m.media-amazon.com/images/M/MV5BMTUyNzk3MjA1OF5BMl5BanBnXkFtZTcwMTE1Njg2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2008,1h 52m,12A,6.6,(529K),61,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",Louis Leterrier,Robert Downey Jr.,https://www.imdb.com/title/tt0800080/?ref_=ls_t_2
3. Iron Man 2,"https://m.media-amazon.com/images/M/MV5BZGVkNDAyM2EtYzYxYy00ZWUxLTgwMjgtY2VmODE5OTk3N2M5XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_QL75_UY207_CR0,0,140,207_.jpg",2010,2h 4m,12A,6.9,(878K),57,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Jon Favreau,Gwyneth Paltrow,https://www.imdb.com/title/tt1228705/?ref_=ls_t_3
4. Thor,"https://m.media-amazon.com/images/M/MV5BOGE4NzU1YTAtNzA3Mi00ZTA2LTg2YmYtMDJmMThiMjlkYjg2XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_QL75_UX140_CR0,0,140,207_.jpg",2011,1h 55m,12A,7.0,(909K),57,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Kenneth Branagh,Terrence Howard,https://www.imdb.com/title/tt0800369/?ref_=ls_t_4
5. Captain America: The First Avenger,"https://m.media-amazon.com/images/M/MV5BNzAxMjg0NjYtNjNlOS00NTdlLThkMGEtMjAwYjk3NmNkOGFhXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_QL75_UY207_CR3,0,140,207_.jpg",2011,2h 4m,12A,6.9,(906K),66,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.",Joe Johnston,Louis Leterrier,https://www.imdb.com/title/tt0458339/?ref_=ls_t_5
6. Avengers Assemble,"https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",2012,2h 23m,12A,8.0,(1.5M),69,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,Edward Norton,https://www.imdb.com/title/tt0848228/?ref_=ls_t_6
7. Iron Man 3,"https://m.media-amazon.com/images/M/MV5BMjIzMzAzMjQyM15BMl5BanBnXkFtZTcwNzM2NjcyOQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2013,2h 10m,12A,7.1,(908K),62,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Shane Black,Liv Tyler,https://www.imdb.com/title/tt1300854/?ref_=ls_t_7
8. Thor: The Dark World,"https://m.media-amazon.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_QL75_UY207_CR3,0,140,207_.jpg",2013,1h 52m,12A,6.8,(732K),54,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",Alan Taylor,Tim Roth,https://www.imdb.com/title/tt1981115/?ref_=ls_t_8
9. Captain America: The Winter Soldier,"https://m.media-amazon.com/images/M/MV5BYzMyN2I0NjMtYmZhZS00MWJkLWE1MTktNGM2ZDhmNDE1ZDc0XkEyXkFqcGdeQXVyNDg2NzE0MjE@._V1_QL75_UX140_CR0,0,140,207_.jpg",2014,2h 16m,12A,7.7,(908K),70,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",Anthony Russo,Jon Favreau,https://www.imdb.com/title/tt1843866/?ref_=ls_t_9
10. Guardians of the Galaxy,"https://m.media-amazon.com/images/M/MV5BNDIzMTk4NDYtMjg5OS00ZGI0LWJhZDYtMzdmZGY1YWU5ZGNkXkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_QL75_UX140_CR0,0,140,207_.jpg",2014,2h 1m,12A,8.0,(1.3M),76,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Joe Russo,Robert Downey Jr.,https://www.imdb.com/title/tt2015381/?ref_=ls_t_10
11. Avengers: Age of Ultron,"https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_QL75_UX140_CR0,0,140,207_.jpg",2015,2h 21m,12A,7.3,(933K),66,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",James Gunn,Mickey Rourke,https://www.imdb.com/title/tt2395427/?ref_=ls_t_11
12. Ant-Man,"https://m.media-amazon.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_QL75_UX140_CR0,0,140,207_.jpg",2015,1h 57m,12A,7.2,(730K),64,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",Joss Whedon,Gwyneth Paltrow,https://www.imdb.com/title/tt0478970/?ref_=ls_t_12
